Churn,Tenure,Techie,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure
0,14.17192333,0,7.352533505,15,2,0
0,3.86023041,0,11.38860234,14,1,0
0,3.043063167,0,10.79191234,18,1,0
0,5.827112819,0,9.982341124,8,0,0
1,4.648958177,0,6.511921085,12,0,1
0,11.96274778,0,10.70500472,14,1,0
0,4.525864256,0,11.58410296,11,0,1
0,8.038308899,1,8.01651453,12,1,1
0,1.416592892,0,15.12148226,12,0,0
0,19.83504645,0,12.63643487,18,0,0
1,15.85002222,0,16.68178185,8,2,0
0,15.94935291,0,11.08409914,10,2,1
0,11.94550648,0,12.99948061,12,1,1
0,16.03360405,0,11.17949466,14,1,1
0,21.29342532,0,7.369412654,13,0,1
0,4.95598008,1,9.84688181,11,0,0
1,2.73951266,0,18.19542503,14,0,0
1,4.973046104,0,13.53989069,13,1,1
1,10.28430068,0,5.458806701,10,2,0
0,2.581692044,0,12.0772854,11,1,1
1,6.945736396,0,6.918984305,9,1,0
0,9.999416271,0,14.84155042,8,3,0
1,6.035737465,0,12.66717474,15,2,0
0,9.004964377,0,11.43786808,13,0,1
1,5.071456681,0,6.915228797,10,1,0
1,12.02106494,0,11.30215199,12,1,1
1,5.049303717,1,9.513085538,10,1,0
0,18.17247008,0,9.497106973,11,1,0
1,15.31997698,0,12.21852573,15,2,0
0,16.0708543,0,8.272244827,11,3,0
0,7.873371451,0,10.24857935,14,3,0
0,23.62866494,1,6.743431946,12,1,1
1,25.8634566,0,12.4703522,8,1,0
1,9.405224809,0,7.913676085,16,1,0
0,12.84490034,1,9.362849722,12,2,0
1,16.59325254,1,17.41324465,10,0,1
0,20.35456039,0,13.43700846,11,0,0
0,12.00925702,0,11.95206054,7,0,1
0,2.861423443,0,4.550449856,17,2,1
1,14.20349453,1,6.09060584,11,2,0
1,4.98152586,0,10.2863601,10,1,1
0,23.12150846,0,11.17709222,12,0,2
0,6.307178205,1,14.12145884,14,0,0
0,12.73622643,0,7.799780591,13,1,0
0,12.00466914,0,7.122072827,14,0,0
0,2.243757398,1,9.329902365,6,0,0
0,1.583394702,0,7.509389052,18,0,0
0,14.23487852,0,15.06990851,14,2,0
1,15.28108311,0,9.321265424,14,0,0
1,4.135827839,0,3.564651961,9,2,0
1,9.740709475,0,7.779622319,12,3,0
1,1.213704886,0,10.74985413,8,0,1
0,11.86252419,0,7.738373361,11,2,0
0,2.416685985,0,12.01267388,11,1,0
0,6.73327535,1,14.04748759,21,0,1
1,6.549035393,0,3.11231175,12,1,1
1,10.57197066,0,8.284591121,8,1,0
1,3.379756569,0,6.269792565,20,0,0
0,8.959047529,0,9.803905459,16,1,1
0,10.23679934,0,8.571019738,5,1,0
1,14.96503088,0,10.00344746,14,0,1
1,23.79323993,0,4.255224068,12,0,1
1,11.45675389,0,11.2714618,14,1,0
1,11.04076215,0,8.477982632,19,0,0
1,7.425503428,0,9.753145376,19,0,1
1,2.411712843,0,14.57387887,13,0,0
0,2.009542213,0,13.13441554,15,1,1
1,9.068119482,0,11.62771397,15,0,0
1,1.926789854,0,6.114030983,11,0,1
0,11.77389421,0,12.76603868,8,2,1
0,2.585228303,0,6.348897952,10,3,0
0,9.517703088,0,16.10939031,9,2,1
0,9.532523799,0,7.151598137,13,0,0
0,23.103996,0,4.575363954,13,0,0
1,5.104873611,0,13.42263904,9,0,0
1,6.877942744,1,3.559550725,8,1,0
1,21.17839683,0,5.971214226,13,3,0
0,1.586331702,0,7.287197615,16,3,0
1,3.778174405,0,11.30031859,18,3,0
1,11.58276897,1,10.26519974,17,0,0
1,11.62258922,1,16.28075484,14,0,0
0,20.78013031,0,10.96553586,8,1,0
1,3.940297464,0,10.93514898,16,1,1
0,11.38099891,1,2.98020454,11,0,0
1,1.473304337,0,17.05256354,14,0,1
0,12.75609778,0,12.29165611,11,0,1
1,6.253919786,0,10.32744663,10,0,1
0,18.9537053,0,9.22949351,18,0,0
0,9.640061615,0,10.02758972,11,1,1
1,5.201330266,0,7.259022839,10,1,0
1,12.42120946,0,10.97274944,10,0,1
0,8.134438503,0,11.87042081,14,1,0
0,14.86764776,0,9.531063533,10,1,0
0,5.548652108,0,8.798065013,11,1,0
0,18.35541838,0,15.27146446,12,2,1
1,7.62779591,1,7.014445177,8,0,1
0,4.439685675,0,10.62019312,10,0,0
0,11.16903388,1,10.04585562,14,1,1
1,14.14101821,1,10.88047174,15,1,2
1,3.212400569,0,9.975481565,13,1,0
0,16.84928353,0,7.248946018,10,1,2
1,3.834727471,0,9.53003591,16,1,1
0,6.198230305,0,6.592317798,16,3,0
0,4.216732972,0,8.124261532,12,3,0
0,4.355064781,0,11.44655577,11,1,0
0,4.030250374,0,10.1755818,17,2,0
0,9.915959247,0,13.7362126,15,0,2
1,9.821728297,1,13.93422217,11,1,0
0,9.183905417,0,3.405050602,11,2,0
0,8.892893007,0,10.69284712,8,2,1
0,7.661226872,0,10.11985468,11,0,0
0,12.4767812,0,5.863179258,16,0,0
1,2.462148717,0,13.357551,8,0,0
1,14.09942339,0,14.04061351,10,1,0
1,7.272649386,1,4.586902043,14,0,0
0,3.999030359,0,11.03563726,9,1,0
0,3.115945151,0,11.32768159,11,1,1
0,13.67931764,0,5.307097721,13,1,0
1,14.6728104,0,8.993783986,7,3,0
0,5.953547112,0,11.05733159,11,1,0
1,11.74635394,0,8.702618087,11,0,0
0,5.954024226,1,7.045651851,11,1,2
1,22.8577804,1,12.61411193,12,2,0
1,1.407866545,0,9.703658153,13,1,1
0,21.08265979,0,8.220453321,13,0,1
1,11.10356439,0,8.816497541,8,0,1
1,9.734064703,0,11.11756812,12,0,0
1,12.21754865,0,13.07119875,10,2,1
1,2.423722078,1,12.10865222,13,2,0
0,13.66061487,0,9.681031902,15,1,0
0,8.701581043,0,10.49495185,11,0,0
0,4.844060027,1,7.535866122,11,0,0
1,6.485034974,0,8.713443753,10,2,0
1,1.14113241,1,7.191637555,10,1,0
0,7.69213424,0,12.2870805,9,0,0
1,13.73012915,0,10.66015784,10,1,0
1,5.690013293,0,7.044096971,13,2,0
0,6.68894661,0,12.14893118,14,1,0
0,9.475983046,1,12.71107869,14,2,0
1,4.893221514,0,9.759360165,14,0,0
0,2.656915117,0,2.816821044,13,0,1
0,14.53315436,0,13.06640293,14,2,1
1,13.62832619,0,8.669204519,11,1,0
1,1.281566108,0,13.97477268,10,3,0
1,3.365552603,0,11.19861363,10,0,0
1,5.397827503,0,10.18921185,12,1,0
0,9.001231999,0,9.518819692,11,3,0
0,10.9750814,0,11.01996949,15,3,2
1,7.825845378,0,14.91100172,15,2,0
1,14.12966281,0,11.17971961,13,2,0
0,14.66914461,0,12.16826675,17,1,0
1,5.388165017,0,17.39213562,10,1,0
0,2.810825808,0,12.02476736,10,1,0
1,2.485229169,0,6.6769165,12,2,0
0,2.051069457,0,11.78679636,7,1,0
0,6.10108047,0,7.846521648,14,2,0
1,4.950398978,0,5.670110512,13,2,0
0,10.16660427,0,13.37036883,19,1,0
1,12.29558653,0,9.826229752,13,2,0
0,24.8868126,0,12.07226102,13,1,0
0,9.660361769,0,15.42491471,12,1,1
1,7.663625954,1,8.601959705,9,0,0
0,5.25445262,0,8.787582345,10,0,0
0,13.59137366,0,6.362190982,12,1,2
1,12.3492819,0,9.507249087,13,0,1
0,18.37317391,0,12.06831191,10,0,1
0,8.498042024,0,5.600227586,10,1,0
0,22.33583015,0,13.15969677,14,1,0
0,1.541545443,0,6.18537496,18,1,0
1,12.78453216,0,9.089998883,10,1,0
1,2.527681829,0,11.21142669,13,1,0
0,7.065506244,0,5.868957217,12,0,0
1,4.258552081,0,2.657311067,12,2,0
0,4.801969514,0,13.75498892,11,1,0
1,5.204853319,0,11.07079287,13,1,0
0,32.0730133,1,10.74788638,9,0,1
1,11.16847385,1,15.68552752,10,1,2
0,16.8000196,0,10.08605721,13,0,0
0,17.6210362,0,16.26782621,14,0,0
1,17.18829795,0,4.946414499,12,1,0
0,17.52138221,1,14.19610787,7,1,0
0,10.4103675,0,15.83394061,14,1,0
1,3.310281145,0,7.663279641,16,0,0
1,2.993625911,0,7.43893815,17,3,1
1,16.26037537,0,11.70582668,11,1,0
1,3.045064701,0,13.60774223,6,2,1
1,15.35762157,0,6.02604588,11,2,0
1,5.940902789,0,8.273678516,7,0,0
1,5.988505209,0,9.424686492,10,0,0
1,7.138784756,0,10.05990041,11,1,0
0,8.951793883,0,12.69711858,12,1,1
1,4.221959275,0,10.3853182,9,1,0
0,9.797427154,1,10.48123205,17,0,0
1,10.90397471,0,13.43076227,17,1,0
0,1.665591776,0,7.951590644,5,0,0
1,8.611218573,0,9.100502767,13,0,0
1,1.28507969,1,11.9086306,13,0,0
0,1.379696124,0,5.304627269,13,1,1
1,3.084376591,0,12.07096717,11,2,0
0,2.43754565,1,7.336943024,14,0,0
0,3.288124191,0,10.16142541,13,1,0
0,32.30772134,0,9.632814549,13,3,0
0,13.46565415,0,6.346778536,8,0,1
0,19.244458,0,12.1986895,16,2,0
0,8.69085131,0,6.444558317,15,0,0
1,3.778575882,0,11.7174619,16,1,0
1,10.27819073,0,6.286550988,17,1,2
0,4.156887945,1,9.886595026,13,0,0
0,11.32083915,1,7.972497589,6,0,0
0,5.254442453,0,11.10996233,17,0,1
0,5.2551003,0,9.301929385,13,2,0
0,6.417132666,0,8.535578793,12,1,2
0,18.61278731,0,9.083448287,11,0,0
0,4.924623699,0,9.581508542,12,2,0
0,6.325942162,0,8.763218085,9,0,0
0,17.22220989,1,12.72077056,10,3,0
0,3.238699239,0,5.304635517,13,0,0
1,6.437878909,1,11.18732698,16,0,0
1,15.22323989,0,11.6443975,13,0,1
0,7.484425045,0,9.83612847,8,0,1
1,7.218752772,0,9.202197695,20,1,0
0,10.03363969,0,9.320914781,12,1,0
0,18.46162568,0,6.697226378,16,1,0
0,16.52138638,0,16.41445271,13,1,0
0,13.83290937,0,4.964218639,11,2,1
1,5.02568958,0,6.702458265,13,0,1
0,2.644787483,0,8.623296005,18,0,0
1,2.522962069,0,4.874661522,17,0,0
1,3.508974199,0,4.924368526,11,1,0
1,11.50651216,1,9.173811061,11,1,0
0,10.96319721,0,9.553427818,8,1,1
1,5.505247606,0,6.007630739,16,0,1
0,14.16961729,0,18.39537758,11,2,0
0,10.27782059,0,14.02031408,10,2,1
1,3.364993591,0,12.07594948,19,0,0
0,9.307770559,0,13.40034021,16,0,2
1,1.171557288,1,13.1215267,10,0,0
1,7.262579715,0,10.4523599,15,1,2
0,17.06899012,0,10.07963518,14,0,0
1,10.8600084,0,5.763454353,11,0,0
1,16.48065356,0,9.086330232,8,1,2
0,10.85041661,0,10.04912841,12,3,0
1,4.85576672,0,8.431329813,12,2,0
0,1.715329149,0,8.961461799,15,1,0
0,21.71097206,0,12.87091514,15,1,0
0,3.470685398,0,7.236546463,16,0,0
0,1.914386255,0,7.048563699,14,2,0
0,9.16272705,0,13.17156155,12,1,1
0,7.457173484,0,11.11418795,10,0,0
1,4.991605214,0,5.236234219,12,1,0
1,10.5903229,0,10.08565191,12,0,0
0,14.68216127,0,4.843029288,13,0,0
0,5.440398012,0,7.565105658,10,0,0
0,11.92300936,0,7.940679007,14,1,1
1,9.461939857,0,12.94031641,12,2,0
0,13.90000955,0,7.794425904,9,2,0
1,13.99579075,1,4.88644359,6,0,2
0,13.44056701,0,10.84392109,17,1,0
0,3.179043613,1,9.879617841,10,2,1
1,14.58066686,0,11.26553266,10,0,1
0,17.24908083,0,13.28523257,9,3,0
1,2.760467902,0,15.62909771,15,0,0
0,20.04140358,0,11.31172944,16,0,1
0,8.001673351,0,11.06959212,11,0,0
1,1.092219692,0,13.45818264,13,1,0
1,14.68600159,0,11.06361355,10,2,0
0,4.135515169,0,11.56147327,15,3,0
0,9.086633107,0,13.49663107,10,3,0
1,9.493585403,0,7.581534683,15,0,0
1,5.372758028,0,10.67669456,13,2,0
0,13.82188875,0,11.74759925,13,0,0
0,2.598489694,0,9.044025424,12,0,0
1,12.9401487,0,7.949846907,16,2,2
0,4.957713222,0,11.35513416,11,3,1
0,28.79864005,1,7.524691972,11,0,0
1,7.176411327,0,9.993073346,11,3,1
0,5.709925704,0,11.38306511,11,3,0
0,3.956375328,0,9.818276662,10,0,0
1,1.033067819,0,14.32006623,13,0,0
0,2.206152519,0,10.02701706,14,1,0
1,3.820262172,1,12.67439697,16,2,1
1,2.640977982,0,11.95689175,4,2,0
0,5.622660986,0,16.23914454,12,1,0
1,1.634394387,1,12.55052929,16,3,0
1,2.012075635,0,13.71586929,13,2,1
1,10.06913982,1,8.90345193,14,0,1
0,6.935335786,0,11.70304454,14,1,1
0,15.56741347,0,3.602721856,12,0,0
0,12.75071284,0,5.21028807,8,0,0
1,8.573785357,0,9.442505655,11,1,0
1,13.86188691,0,2.760749024,16,1,0
1,10.77929667,0,13.2491569,11,0,0
0,16.88097916,0,13.4911859,15,0,0
1,16.92163398,0,7.779828793,15,0,0
0,11.91663193,0,10.68579941,13,1,0
1,2.81822785,1,9.905787776,16,1,0
0,5.100566529,1,11.62388139,14,1,0
1,4.806882153,0,12.19296315,10,1,1
1,5.658327457,0,6.892345443,15,1,0
1,2.649525158,0,8.482252615,14,0,0
0,18.76976086,0,9.179212931,10,1,2
0,13.04542381,0,9.321060469,10,0,0
1,1.534192133,0,13.24354261,7,1,0
0,9.039309605,0,14.7376853,11,0,0
0,10.15330548,0,7.766411994,10,0,0
0,8.792119046,0,9.256391341,14,2,0
1,1.542556879,0,8.27152774,13,0,1
1,13.65776694,1,10.08608649,13,0,1
1,5.165404738,0,6.964656883,10,0,1
1,13.17859958,1,7.514067308,15,2,0
1,1.557206083,0,3.262720061,16,0,1
0,7.226076469,0,13.69828326,11,0,0
0,20.91720893,0,8.363844619,10,1,0
1,7.228526307,0,11.34885042,10,0,0
0,20.43854626,0,11.81880212,13,0,1
1,2.915827364,0,8.661233766,13,3,0
0,9.709171662,0,7.423384386,10,0,0
0,1.939549257,0,8.827647599,13,2,0
1,1.502124145,0,12.48417719,12,1,0
1,1.906368477,0,10.56592379,10,1,0
1,15.60605339,0,11.60110678,17,0,1
0,1.781895205,0,12.13702885,9,2,0
1,2.050742411,1,8.088906499,17,1,0
0,2.447649309,0,10.16305189,11,2,1
0,10.81997919,0,10.14030426,16,3,1
1,8.650238791,0,7.823058882,9,0,0
0,8.878536605,0,10.36003643,14,0,0
0,2.359067126,0,11.24744549,8,2,0
1,5.207179461,0,14.78936522,10,1,0
0,9.450195459,0,14.24429679,13,1,0
0,10.6312597,0,6.027816542,15,3,0
0,3.564836875,0,10.4766784,11,0,0
0,1.815836226,0,8.397331803,15,1,0
0,8.932053699,0,12.1663565,8,0,1
1,7.349620762,1,9.133118524,7,0,0
1,14.71424943,0,13.04068054,11,3,1
1,7.073151031,0,10.43511467,11,0,0
0,1.597765127,0,12.35764261,10,1,0
1,8.054118994,0,12.33031848,16,1,1
0,14.96135055,0,18.30717385,9,0,1
1,22.76986341,0,14.35467948,7,2,0
1,2.519975147,0,9.431168696,10,2,0
1,5.915247686,0,11.27381764,14,1,0
0,7.793733508,0,10.93898196,12,1,0
1,20.44846104,0,6.464103552,6,1,1
1,10.40161068,0,5.772344439,10,1,1
0,7.604093453,1,10.26897415,15,0,0
0,12.85397739,1,10.11933502,8,1,1
1,1.410971237,0,8.776451212,13,1,1
1,8.874920206,1,9.011401399,16,0,0
0,6.013261132,0,10.91857997,14,2,1
1,9.306233406,1,7.298432418,12,1,0
1,4.902104964,1,13.40423523,11,0,0
1,1.894776657,1,9.879567236,11,1,1
0,5.204111135,0,7.329478649,10,2,0
0,1.375013189,0,9.311560353,14,3,0
0,1.387575524,0,11.13291822,9,1,1
0,2.685677496,0,12.236238,11,1,0
1,16.58244758,0,5.33893117,10,1,2
1,14.17620441,0,15.39425705,13,1,0
0,10.81527088,0,7.879092117,12,0,0
0,20.01892414,0,7.006566848,14,3,0
1,6.956508263,0,10.9783735,17,0,0
1,8.274610767,0,9.023888498,16,2,1
1,6.786723844,0,6.599742586,18,0,0
1,3.605888824,0,8.863330522,8,0,0
0,10.19243185,0,8.842692082,11,0,0
0,3.998433243,0,8.832305481,16,2,0
0,4.964368923,0,12.47810556,9,0,1
0,5.884557067,0,9.877572075,7,1,2
0,1.084656113,0,6.048302665,13,0,1
1,7.21126107,0,11.62322378,14,0,0
0,2.140387928,0,17.23011599,11,2,0
0,7.931439645,0,14.68014234,12,0,0
0,14.08939653,0,13.12045068,10,2,0
0,9.232644617,0,7.173629507,8,1,1
1,6.951491551,0,13.25882319,15,0,1
0,3.137169138,0,9.408080299,15,2,0
1,11.85998919,0,6.860771245,5,0,0
0,3.113737885,0,4.12236456,18,1,0
0,4.985175451,1,13.08013867,10,1,0
1,11.41238102,0,8.194610203,7,1,1
0,3.775528995,0,11.91761523,13,2,0
1,5.30268427,0,7.344740595,13,0,1
1,2.843930975,0,7.325364653,18,2,0
1,13.70230727,1,8.200222508,15,1,1
0,4.768869377,0,10.4962468,11,1,0
0,14.57312339,1,8.461081572,10,0,0
0,17.28022598,0,8.941096681,14,2,0
0,16.1217624,1,7.752382962,11,0,0
1,2.437089876,0,9.647132151,12,0,1
0,5.822867455,0,10.91251295,12,1,2
0,16.18199957,0,8.442478548,12,1,0
0,14.46037646,0,10.21682783,9,1,0
1,1.504124801,0,16.82309021,13,3,1
0,7.737353244,0,12.27450189,15,0,0
1,4.109952242,0,9.712856304,13,0,1
1,2.566196093,0,9.741346714,13,0,1
1,4.440328327,0,15.26191649,10,2,0
1,12.3848312,0,14.12126974,13,2,0
1,6.396338897,1,12.35356432,9,3,2
0,10.03212915,0,11.20346894,10,1,0
0,2.62036784,0,5.489232783,11,1,1
1,3.795086086,0,12.74662948,13,2,1
0,3.149071183,0,11.58210776,10,2,0
1,3.484000437,0,5.702833154,16,2,1
1,5.770302149,0,12.55174668,16,0,0
0,2.981008475,0,16.27747113,13,1,0
0,9.14991493,0,9.95126762,12,1,1
1,11.38939562,0,10.8901854,14,0,0
0,6.143856241,1,11.88831901,17,3,0
0,5.981775914,0,13.7568705,7,2,0
1,2.08299524,0,10.75643368,13,1,0
1,7.110141173,0,5.330342998,16,2,1
1,3.041138012,0,10.54615588,10,0,0
0,15.37394197,0,6.569174155,11,2,0
0,3.905351198,0,12.13559132,7,0,1
0,3.838043219,1,5.114864238,10,3,2
1,5.141923371,0,12.67661786,14,2,1
1,19.17821675,0,13.26508243,13,1,1
0,12.36979696,1,11.98809409,15,2,1
0,14.28414317,1,12.29322885,14,1,0
1,3.769989038,0,8.157170567,12,1,0
1,9.126959742,0,8.36802634,11,1,0
0,2.684151079,0,8.645688486,12,1,1
1,24.39432985,0,9.435961177,9,1,0
1,4.676474348,1,11.06173556,11,1,1
1,4.065555679,1,7.48309773,13,0,1
1,19.95372925,0,13.31601627,9,1,1
1,4.241019424,0,10.34957334,8,0,1
0,14.02310297,0,10.38237508,11,1,1
0,1.042140757,0,10.27122446,10,0,0
1,4.483251529,1,9.542022573,10,1,0
1,2.768037617,0,9.417040882,14,1,0
0,6.357562637,1,11.00921312,8,1,0
